year,co2_ppm,gdp,carbon_tax,System
2025,0.000106,0.0,13.691905,Albania carbon tax
2025,0.002852,,,Alberta TIER
2025,0.0,,,Alberta carbon tax
2025,8e-06,0.0,,Andorra carbon tax
2025,0.002624,225.050559,5.327915,Argentina carbon tax
2025,0.0,3267.3024,22.370145,Australia CPM
2025,0.002807,,21.81612,Australia Safeguard Mechanism
2025,,1264.2567,48.546,Austria ETS
2025,0.00029,,66.211319,BC OBPS
2025,0.0,1888.105502,58.944887,BC carbon tax
2025,0.0,1.202438,8.317025,Baja California carbon tax
2025,0.000472,1.140797,12.152606,Beijing pilot ETS
2025,0.005644,4400.713191,29.27,California CaT
2025,0.000424,0.0,66.211319,Canada federal OBPS
2025,0.0,8858.771097,58.944887,Canada federal fuel charge
2025,0.001261,140.0,5.0,Chile carbon tax
2025,0.152937,,11.764625,China national ETS
2025,0.000555,3.106183,5.510154,Chongqing pilot ETS
2025,0.0,0.0,,Colima carbon tax
2025,0.000846,133.066521,6.536619,Colombia carbon tax
2025,0.0,0.0,,Colorado GHG crediting trading system
2025,0.000348,503.493481,108.43478,Denmark carbon tax
2025,0.0,6.090366,,Durango carbon tax
2025,0.024793,41702.91389,70.370124,EU ETS
2025,2.4e-05,2.149,26.97,Estonia carbon tax
2025,0.000318,1375.36,66.8856,Finland carbon tax
2025,0.002984,7843.85,48.11448,France carbon tax
2025,0.000963,0.0,4.727313,Fujian pilot ETS
2025,0.005021,13933.16874,48.546,Germany ETS
2025,0.0,1.831732,,Guanajuato carbon tax
2025,0.001775,0.0,5.406967,Guangdong pilot ETS
2025,0.001449,6.473562,5.272137,Hubei pilot ETS
2025,0.0,182.381332,,Hungary carbon tax
2025,2.8e-05,54.228604,60.06006,Iceland carbon tax
2025,0.005436,,0.724375,Indonesia ETS
2025,0.000328,1111.033,68.5038,Ireland carbon tax
2025,0.001172,0.0,1.511471,Israel carbon tax
2025,0.015724,1451.883105,1.929239,Japan carbon tax
2025,0.002601,0.0,0.931726,Kazakhstan ETS
2025,0.009753,134.44677,6.453148,Korea ETS
2025,4e-06,8.12322,16.182,Latvia carbon Tax
2025,2e-06,9.15557,136.038998,Liechtenstein carbon tax
2025,0.000107,303.150834,58.546476,Luxembourg carbon tax
2025,,,,Manitoba carbon tax
2025,0.0,19.246327,9.3,Massachusetts ETS
2025,0.0,0.0,,Mexico City carbon tax
2025,0.00484,0.0,0.0,Mexico ETS
2025,0.001681,410.648352,3.942786,Mexico carbon tax
2025,1e-06,13.804566,25.8912,Montenegro ETS
2025,0.0,0.0,,Morelos carbon tax
2025,2.8e-05,0.0,94.82652,Netherlands carbon tax
2025,0.000122,0.0,66.211319,New Brunswick OBPS
2025,0.0,124.165761,48.03074,New Brunswick carbon tax
2025,0.0007,293.38569,32.007124,New Zealand ETS
2025,5.6e-05,0.437766,66.211319,Newfoundland and Labrador PSS
2025,0.0,26.435045,48.03074,Newfoundland and Labrador carbon tax
2025,0.0,54.577336,58.944887,Northwest Territories carbon tax
2025,0.000439,1605.429133,133.920487,Norway carbon tax
2025,0.000102,13.006266,66.211319,Nova Scotia OBPS
2025,0.0,540.461723,11.710873,Ontario CaT
2025,0.000741,0.0,66.211319,Ontario EPS
2025,0.000466,0.0,,Oregon ETS
2025,0.001649,6.864587,0.098303,Poland carbon tax
2025,0.0004,1270.231838,72.700332,Portugal carbon tax
2025,0.0,10.574018,36.946723,Prince Edward Island carbon tax
2025,0.001101,1054.886144,41.54,Quebec CaT
2025,0.0,15.336629,,Queretaro carbon tax
2025,0.00167,1456.170302,23.32,RGGI
2025,0.0,0.0,0.961282,Saitama ETS
2025,0.0,1.062551,,San Luis Potosí carbon tax
2025,0.0,266.428367,58.944887,Saskatchewan OBPS
2025,,,,Shandong ETS
2025,0.001045,13.160732,10.797424,Shanghai pilot ETS
2025,0.000351,0.0,6.533763,Shenzhen pilot ETS
2025,0.000996,150.272982,18.6192,Singapore carbon tax
2025,0.000139,172.9945,33.28098,Slovenia carbon tax
2025,0.008084,92.178222,12.848922,South Africa carbon tax
2025,0.000108,118.195,16.182,Spain carbon tax
2025,0.0,13.713111,,State of Mexico carbon tax
2025,0.000371,2306.382062,144.624699,Sweden carbon tax
2025,0.000107,49.957612,64.749576,Switzerland ETS
2025,0.000287,1425.876609,136.038998,Switzerland carbon tax
2025,0.003137,0.0,,Taiwan carbon fee
2025,0.0,82.194381,16.671988,Tamaulipas carbon tax
2025,0.000665,0.0,5.296902,Tianjin pilot ETS
2025,0.0,0.0,4.00534,Tokyo CaT
2025,0.0,871.9368,23.2371,UK Carbon Price Support
2025,0.001934,3249.599462,57.227814,UK ETS
2025,0.001306,79.704177,0.73041,Ukraine carbon tax
2025,3.9e-05,301.746321,158.764742,Uruguay CO2 tax
2025,0.001155,810.765278,50.0,Washington CCA
2025,0.0,6.367695,,Yucatan carbon tax
2025,0.0,15.769697,12.279762,Zacatecas carbon tax
